abstract,keywords
"Renal Cell Carcinoma (RCC) is one of the most common malignancies and histopathological image analysis is a gold standard for RCC diagnostic method. Recognizing the type of RCC tumor and the possibility of cell migration highly depends on the geometric and topological properties of the vascular network. Motivated by the diagnosis pipeline, we explore whether the vascular network visible in RCC histopathological images is sufficient to characterize the RCC subtype. To achieve this, we firstly build a new RCC histopathological image dataset, namely the BigRCC dataset, which contains 63430 patch images of clear Cell RCC (ccRCC), papillary RCC (pRCC), Chromophobe (chRCC), and Oncocytoma. Then we build a vascular network-based RCC histopathological image dataset of 31 patients, namely the VRCC dataset, with 424 weakly-labeled vascular network annotations, coming from tumor patch images of ccRCC, pRCC, and chRCC. Based on these vascular networks of the VRCC dataset, we propose new handcrafted features, namely skeleton features and lattice features. These features well represent the geometric and topological properties of the vascular networks of RCC histopathological images. Then we build strong benchmark results with various algorithms (both traditional and deep learning models) on the VRCC dataset. The results of skeleton and lattice features outperform popular deep learning models. Unfortunately, there is a lack of large manually annotated vascular network databases for learning-based methods. Moreover, vascular network annotating is very time-consuming, which would limit its potential application. Besides, automatic vascular network segmentation from histopathological images is still a challenge due to the background complexity. To facilitate vascular network application, in this thesis, we propose a method that reduces reliance on labeled data through semi-supervised learning (SSL). Additionally, considering the correlation between tumor classification and vascular segmentation, we propose a multi-task learning (MTL) model that can simultaneously segment the vascular network using SSL and predict the tumor class in a supervised context. This multi-task learning procedure offers an end-to-end machine learning solution to jointly segment the vascular network from histopathological images and classify tumor subtypes. Experiments were carried out on the VRCC dataset and then tested on both own RCC and open-source TCGA datasets. The results show that the proposed MTL-SSL model outperforms the conventional supervised-learning segmentation approach.","[1414, 144, 531]"
We prove the confluence of a lambda-calculus of exception handling whose typing system and evaluation rules are initially based on classical logic through the Curry-Howard isomorphism and to which we have added a general fixed-point operator.,"[530, 518, 442, 5169]"
"This paper reports the results and post-challenge analyses of ChaLearn’s AutoDL challenge series, which helped sorting out a profusion of AutoML solutions for Deep Learning (DL) that had been introduced in a variety of settings, but lacked fair comparisons. All input data modalities (time series, images, videos, text, tabular) were formatted as tensors and all tasks were multi-label classification problems. Code submissions were executed on hidden tasks, with limited time and computational resources, pushing solutions that get results quickly. In this setting, DL methods dominated, though popular Neural Architecture Search (NAS) was impractical. Solutions relied on fine-tuned pre-trained networks, with architectures matching data modality. Post-challenge tests did not reveal improvements beyond the imposed time limit. While no component is particularly original or novel, a high level modular organization emerged featuring a “meta-learner”, “data ingestor”, “model selector”, “model/learner”, and “evaluator”. This modularity enabled ablation studies, which revealed the importance of (off-platform) meta-learning, ensembling, and efficient data management. Experiments on heterogeneous module combinations further confirm the (local) optimality of the winning solutions. Ourchallenge legacy includes an ever-lasting benchmark (http://autodl.chalearn.org), the open-sourced code of the winners, and a free “AutoDL self-service”.","[842, 1, 1557, 333, 782]"
"Transferable adversarial images raise critical security concerns for computer vision systems in real-world, blackbox attack scenarios. Although many transfer attacks have been proposed, existing research lacks a systematic and comprehensive evaluation. In this paper, we systemize transfer attacks into five categories around the general machine learning pipeline and provide the first comprehensive evaluation, with 23 representative attacks against 11 representative defenses, including the recent, transfer-oriented defense and the real-world Google Cloud Vision. In particular, we identify two main problems of existing evaluations: (1) for attack transferability, lack of intra-category analyses with fair hyperparameter settings, and (2) for attack stealthiness, lack of diverse measures. Our evaluation results validate that these problems have indeed caused misleading conclusions and missing points, and addressing them leads to new, consensuschallenging insights, such as (1) an early attack, DI, even outperforms all similar follow-up ones, (2) the state-of-the-art (whitebox) defense, DiffPure, is even vulnerable to (black-box) transfer attacks, and (3) even under the same Lp constraint, different attacks yield dramatically different stealthiness results regarding diverse imperceptibility metrics, finer-grained measures, and a user study. We hope that our analyses will serve as guidance on properly evaluating transferable adversarial images and advance the design of attacks and defenses.","[2289, 2488, 42, 4148, 4954, 1451, 435, 0]"
"The bio-inspired concept of Spike-Timing-Dependent Plasticity (STDP) derived from neurobiology is increasingly used in Spiking Neural Networks (SNNs) nowadays. Mostly found in unsupervised learning, though recent work has shown its usefulness in supervised or reinforced paradigms too, STDP is a key element to understanding SNN architectures' learning process. This review introduces a categorisation of its several variants and discusses their specificities and applications, from a pattern recognition perspective. It gathers a variety of definitions used in machine learning for pattern recognition. It provides relevant information for research communities of various backgrounds looking for an overview of this field.","[250, 2119, 75, 0]"
"With increased use of precision agriculture techniques, information concerning within-field crop yield variability is becoming increasingly important for effective crop management. Despite the commercial availability of yield monitors, many crop harvesters are not equipped with them. Moreover, yield monitor data can only be collected at harvest and used for after-season management. On the other hand, remote sensing imagery obtained during the growing season can be used to generate yield maps for both within-season and after-season management. This paper gives an overview on the use of airborne multispectral and hyperspectral imagery and high-resolution satellite imagery for assessing crop growth and yield variability. The methodologies for image acquisition and processing and for the integration and analysis of image and yield data are discussed. Five application examples are provided to illustrate how airborne multispectral and hyperspectral imagery and high-resolution satellite imagery have been used for mapping crop yield variability. Image processing techniques including vegetation indices, unsupervised classification, correlation and regression analysis, principal component analysis, and supervised and unsupervised linear spectral unmixing are used in these examples. Some of the advantages and limitations on the use of different types of remote sensing imagery and analysis techniques for yield mapping are also discussed.","[2483, 4128, 2960]"
"The ever-increasing demand for web applications deployed across multiple data centers results in large electricity costs for service providers and significant impact on the environment. This has motivated service providers to move towards more sustainable data centers powered by renewable or green sources of energy, such as solar or wind. However, efficient utilization of green energy to service web applications is a challenging problem due to intermittency and unpredictability of both application workload and renewable energy availability. One possible solution to reduce cost and increase renewable energy utilization is to exploit the spatio-temporal variations in on-site power and grid power prices by balancing the load among multiple data centers geographically distributed. In this paper, we propose a framework for reactive load balancing of web application requests among Geo-distributed sustainable data centers based on the availability of renewable energy sources on each site. A system prototype is developed, its underlying design and algorithms are described, and experiments are conducted with it using real infrastructure (Grid'5000 in France) and workload traces (real traffic to English Wikipedia). The experimental results demonstrate that our approach can reduce cost and brown energy usage with efficient utilization of green energy and without a priori knowledge of future workload, availability of renewable energy, and grid electricity prices.","[345, 1788, 680]"
"To maintain an energy footprint as low as possible, data centres manage their VMs according to conventional and established rules. Each data centre is however made unique due to its hardware and workload specificities. This prevents the ad hoc design of current VM managers from taking these particularities into account to provide additional energy savings. In this paper, we present Plug4Green, an energy-aware VM placement algorithm that can be easily specialized and extended to fit the specificities of the data centres. Plug4Green computes the placement of the VMs and state of the servers depending on a large number of constraints, extracted automatically from SLAs. The flexibility of Plug4Green is achieved by allowing the constraints to be formulated independently from each other but also from the power models. This flexibility is validated through the implementation of 23 SLA constraints and 2 objectives aiming at reducing either the power consumption or the greenhouse gas emissions. On a heterogeneous test bed, Plug4Green specialization to fit the hardware and the workload specificities allowed to reduce the energy consumption and the gas emission by up to 33% and 34%, respectively. Finally, simulations showed that Plug4Green is capable of computing an improved placement for 7500 VMs running on 1500 servers within a minute.","[3, 1295, 95, 17, 58]"
"The verification of concurrent finite-state systems by model-checking often requires to generate (a large part of) the state space of the system under analysis. Because of the state explosion problem, this may be a resource-consuming operation, both in terms of memory and CPU time. In this report, we aim at improving the performances of state space construction by using parallelization techniques. We present parallel algorithms for constructing state spaces (or Labeled Transition Systems) on a network or a cluster of workstations. Each node in the network builds a part of the state space, all parts being merged to form the whole state space upon termination of the parallel computation. These algorithms have been implemented within the CADP verification tool set and experimented on various concurrent applications specified in LOTOS. The results obtained show linear speedups and a good load balancing between network nodes.","[11, 1191, 41]"
"We present here the design and demonstration of a circularly polarized (CP) transmitarray antenna operating in Ka-band and illuminated by a linearly polarized (LP) source. The proposed design is based on a CP unit-cell with simulated insertion loss of 0.2 dB at 30 GHz. In order to improve the axial ratio (AR) bandwidth, the sequential rotation technique is applied to the full array configuration. A model based on a hybrid in-house simulation tool is also proposed to predict accurately the array performance. The realized prototype, formed by 400 unit-cells, has 1 bit of phase resolution. The measured broadside gain is 22.8 dBi at 30 GHz with a 3-dB bandwidth of 20% in right-handed CP (RHCP). The obtained 3-dB AR bandwidth of 24.4% is comparable with higher resolution designs","[3961, 5775, 4374]"
"This paper proposes a method for extracting translations of morphologically constructed terms from comparable corpora. The method is based on compositional translation and exploits translation equivalences at the morpheme-level, which allows for the generation of ""fertile"" translations (translation pairs in which the target term has more words than the source term). Ranking methods relying on corpus-based and translation-based features are used to select the best candidate translation. We obtain an average precision of 91% on the Top1 candidate translation. The method was tested on two language pairs (English-French and English-German) and with a small specialized comparable corpora (400k words per language).","[206, 467, 1927]"
"This thesis is an attempt to improve visual object retrieval by allowing users to interact with the system. Our solution lies in constructing an interactive system that allows users to define their own visual concept from a concise set of visual patches given as input. These patches, which represent the most informative clues of a given visual category, are trained beforehand with a supervised learning algorithm in a discriminative manner. Then, and in order to specialize their models, users have the possibility to send their feedback on the model itself by choosing and weighting the patches they are confident of. The real challenge consists in how to generate concise and visually interpretable models. Our contribution relies on two points. First, in contrast to the state-of-the-art approaches that use bag-of-words, we propose embedding local visual features without any quantization, which means that each component of the high-dimensional feature vectors used to describe an image is associated to a unique and precisely localized image patch. Second, we suggest using regularization constraints in the loss function of our classifier to favor sparsity in the models produced. Sparsity is indeed preferable for concision (a reduced number of patches in the model) as well as for decreasing prediction time. To meet these objectives, we developed a multiple-instance learning scheme using a modified version of the BLasso algorithm. BLasso is a boosting-like procedure that behaves in the same way as Lasso (Least Absolute Shrinkage and Selection Operator). It efficiently regularizes the loss function with an additive L1-constraint by alternating between forward and backward steps at each iteration. The method we propose here is generic in the sense that it can be used with any local features or feature sets representing the content of an image region.","[1641, 172, 745]"
"Kinesthetic Motor Imagery (KMI) is a mental task which, if performed properly, can be very relevant in sports training or rehabilitation with a Brain-Computer Interface (BCI). Unfortunately, this mental task is generally complex to perform and can lead to a high degree of variability in its execution, reducing its potential benefits. The reason why the task of KMI is so difficult to perform is because there is no standardized way of instructing the subject in this mental task. This study presents an innovative BCI called Grasp-IT thought to support the learning of the KMI task, and the evaluation of two different learning methods: (i) a first one guided by an experimenter and based on the notion of progressiveness and (ii) a second one where the learners are alone and practice by trial and error. Our findings based on EEG analyses and subjective questionnaires validate the design of the Grasp-IT BCI and opens up perspectives on KMI learning modalities.","[50, 5295, 30]"
"Medical imaging datasets often contain deviant observations, the so-called outliers, due to acquisition or preprocessing artifacts or resulting from large intrinsic inter-subject variability. These can undermine the statistical procedures used in group studies as the latter assume that the cohorts are composed of homogeneous samples with anatomical or functional features clustered around a central mode. The effects of outlying subjects can be mitigated by detecting and removing them with explicit statistical control. With the emergence of large medical imaging databases, exhaustive data screening is no longer possible, and automated outlier detection methods are currently gaining interest. The datasets used in medical imaging are often high-dimensional and strongly correlated. The outlier detection procedure should therefore rely on high-dimensional statistical multivariate models. However, state-of-the-art procedures are not well-suited for such high-dimensional settings. In this work, we introduce regularization in the MCD framework and investigate different regularization schemes. We carry out extensive simulations to provide backing for practical choices in absence of ground truth knowledge. We demonstrate on functional neuroimaging datasets that outlier detection can be performed with small sample sizes and improves group studies.","[1088, 1321, 935]"
"This paper presents S-Notebook, a tool that makes it possible to ""extend"" mobile devices with augmented paper. Paper is used to overcome the physical limitations of mobile devices by offering ad- ditional space to annotate digital files and to easily create relation- ships between them. S-Notebook allows users to link paper annota- tions or drawings to anchors in digital files without having to learn pre-defined pen gestures. The systems stores meta data such as spa- tial or temporal location of anchors in the document as well as the zoom level of the view. Tapping on notes with the digital pen make appear the corresponding documents as displayed when the notes were taken. A given piece of augmented paper can contain notes as- sociated to several documents, possibliy at several locations. The annotation space can thus serve as a simple way to relate various pieces of one or several digital documents between them. When the user shares his notes, the piece of paper becomes a tangible to- ken that virtually contains digital information.","[1613, 2340, 2198, 699]"
"In the context of interactive theorem provers based on a dependent type theory, automation tactics (dedicated decision procedures, call of automated solvers, ...) are often limited to goals which are exactly in some expected logical fragment. This very often prevents users from applying these tactics in other contexts, even similar ones. This paper discusses the design and the implementation of pre-processing operations for automating formal proofs in the Coq proof assistant. It presents the implementation of a wide variety of predictible, atomic goal transformations, which can be composed in various ways to target different backends. A gallery of examples illustrates how it helps to expand significantly the power of automation engines.","[91, 324, 616, 3248, 836]"
"Hybrid computing platforms are now commonplace, featuring a large number of CPU cores and accelerators. This trend makes balancing computations between these heterogeneous resources performance critical. In this paper we propose aggregating several CPU cores in order to execute larger parallel tasks and thus improve the load balance between CPUs and accelerators. Additionally, we present our approach to exploit internal parallelism within tasks. This is done by combining two runtime systems: one runtime system to handle the task graph and another one to manage the internal parallelism. We demonstrate the relevance of our approach in the context of the dense Cholesky factorization kernel implemented on top of the StarPU task-based runtime system. We present experimental results showing that our solution outperforms state of the art implementations.","[661, 208, 1320]"
"SmartTools is a development environment generator that definitions of the manipulated languages. It can accept Doc- provides a structure editor and semantic tools as main fea- ument Type Definitions (DTDs) as AST definitions to define tures. SmartTools is easy to use, thanks to its graphical user languages. When a DTD is imported, it automatically pro- interface. Being based on Java and XML technologies of- duces a set of Java classes that extend a DOM implementa- fers all the features of SmartTools to any defined language. tion for each operator. It offers a structure editing environ- The main goal of this tool is to provide help and support ment for the language defined by this DTD for free. During for designing software development environments for pro- editing, the system guarantees that XML documents remain gramming languages as well as domain-specific languages valid and well-formed. When additional information is pro- defined with XML technologies.","[1582, 230, 4163]"
"This work deals with the problem of finite-time homogeneous observer design for linear systems. Compared to other works, the stability conditions and parameters tuning are formulated using linear matrix inequalities being less conservative. The proposed results are based on the homogeneity property and Implicit Lyapunov Function method. The results are supported with simulation examples.","[3890, 1665, 743, 795]"
"This paper continues our quest for the weakest failure detector which allows the k-set agreement problem to be solved in asynchronous message-passing systems prone to any number of process failures. It has two main contributions which (we hope) will be instrumental to complete this quest. The first contribution is a new failure detector (denoted ∏∑x,y). This failure detector has several noteworthy properties. (a) It is stronger than ∑x which has been shown to be necessary. (b) It is equivalent to the pair (∑, Ω) when x = y = 1 (from which it follows that ∏∑1,1 is optimal to solve consensus). (c) It is equivalent to the pair (∑n−1, Ωn−1) when x = y = n − 1 (from which it follows that ∏∑n−1, n−1) is optimal for (n − 1)-set agreement). (d) It is strictly weaker than the pair (∑x,Ωy) (which has been investigated in previous works) for the pairs (x, y) such that 1 < y < x < n. (e) It is operational: the paper presents a ∏∑x,y-based algorithm that solves k-set agreement for k ⩾ xy. The second contribution of the paper is a proof that, for 1 < k < n − 1, the eventual leaders failure detector k (which eventually provides each process with the same set of k process identities, this set including at least one correct process) is not necessary to solve k-set agreement problem. More precisely, the paper shows that the weakest failure detector for k-set agreement and k cannot be compared.","[501, 15, 1400, 633, 198, 63, 1555, 1162]"
"The objective of this paper is to investigate how noisy and incomplete observations can be integrated in the process of building a reduced-order model. This problematic arises in many scientific domains where there exists a need for accurate low-order descriptions of highly-complex phenomena, which can not be directly and/or deterministically observed. Within this context, the paper proposes a probabilistic framework for the construction of ""POD-Galerkin"" reduced-order models. Assuming a hidden Markov chain, the inference integrates the uncertainty of the hidden states relying on their posterior distribution. Simulations show the benefits obtained by exploiting the proposed framework.","[3324, 3845, 119]"
"We present a class of objects that denote proofs in classical propositional logic. The general definitions are in terms of a semiring of parameters. We discuss two concrete instances: With the Boolean semiring we get a theory of proof nets for classical logic, that comes with a geometric correctness criterion, a sequentialization theorem, and a strongly normalizing cut-elimination procedure. This allows us to build ``Boolean'' *-autonomous categories that are not posets. With the semiring of natural numbers, we obtain a sound semantics for classical logic, in which fewer proofs are identified. Though a ``real'' sequentialization theorem is missing, these proof nets have a grip on complexity issues, in particular the NP vs. co-NP problem. The strongly normalizing cut elimination procedure is closely related to the cut elimination process in the calculus of structures, and we also get a ``Boolean'' category.","[3762, 888, 274]"
"Motion processing in primates is an intensely studied problem in visual neurosciences and after more than two decades of research, representation of motion in terms of motion energies computed by V1-MT feedforward interactions remains a strong hypothesis. Thus, decoding the motion energies is of natural interest for developing biologically inspired computer vision algorithms for dense optical flow estimation. Here, we address this problem by evaluating four strategies for motion decoding: intersection of constraints, linear decoding through learned weights on MT responses, maximum likelihood and regression with neural network using multi scale-features. We characterize the performances and the current limitations of the different strategies, in terms of recovering dense flow estimation using Middlebury benchmark dataset widely used in computer vision, and we highlight key aspects for future developments .","[5688, 5689, 134]"
"A message adversary is a daemon that suppresses messages in round-based message-passing synchronous systems in which no process crashes. A property imposed on a message adversary defines a subset of messages that cannot be eliminated by the adversary. It has recently been shown that when a message adversary is constrained by a property denoted TOUR (for tournament), the corresponding synchronous system and the asynchronous crash-prone read/write system have the same computability power for task solvability. This paper introduces new message adversary properties (denoted SOURCE and QUORUM), and shows that the synchronous round-based systems whose adversaries are constrained by these properties are characterizations of classical asynchronous crash-prone systems (1) in which processes communicate through atomic read/write registers or point-to-point message-passing, and (2) enriched with failure detectors such as Ω and Σ. Hence these properties characterize maximal adversaries, in the sense that they define strongest message adversaries equating classical asynchronous crash-prone systems. They consequently provide strong relations linking round-based synchrony weakened by message adversaries with asynchrony restricted with failure detectors. This not only enriches our understanding of the synchrony/asynchrony duality, but also allows for the establishment of a meaningful hierarchy of property-constrained message adversaries.","[1246, 5231, 884, 501, 429, 633, 5191, 198, 4325]"
"Los avances en el desarrollo de Interfaces Cerebro-Computadora (BCI, por sus siglas en inglés Brain-Computer Interface) se han incrementado en años recientes, principalmente porque ha evolucionado el nivel de convergencia de técnicas multidisciplinarias. La electroencefalografía (EEG), una teécnica de grabación de señales cerebrales estudiado en esta tesis, permite la construcción de BCIs, sin embargo las señales son complejas para procesar, lo cual requiere metodologías que extraigan patrones de forma eficiente. Esta tesis explora dos tópicos principales: primero, se propone un sistema para el reconocimiento de convulsiones de epilepsia usando una combinacion de metodos de procesamiento de señales para la extracción eficiente de rasgos; segundo, explora el uso de un algoritmo meta-heurístico, Programación Genética (GP, por sus siglas en inglés Genetic Programming), como una alternativa en el diseño de BCIs. Sin embargo, existen temas sin resolver in GP que esta tesis explora: ¿existe una metodologia de búsqueda en GP más eficiente?; ¿cual es una representación apropiada dependiendo del problema a estudiar?; ¿cual son los operadores de búsqueda más adecuados?. De esta forma, se presenta un estudio a fondo con la introducción de un GP memetico aplicado a problemas de regresión. Despues, se extiende adaptandolo a problemas de clasificación. Los resultados son positivos; GP se beneficia fuertemente de la combinación de una metodologia general de busqueda y una local (LS, por sus siglas en inglés Local Search). Los ultimos dos cuestionamientos se estudian simultáneamente en el desarrollo de un sistema de reconocimiento para estados mentales usando EEG. Se propone una versión de GP (+FEGP) que evoluciona modelos de extracción de rasgos usando operadores especializados de busqueda, representación de individuos y función de aptitud. Los resultados muestran que esta combinación permite una exactitud de clasificación que aporta en el estado-del-arte para la tarea particular del reconocimiento de estados mentales.","[1841, 106, 562]"
"Objective: A craniotomy is the removal of a part of the skull to allow surgeons to have access to the brain and treat tumors. When accessing the brain, a tissue deformation occurs and can negatively influence the surgical procedure outcome. In this work, we present a novel Augmented Reality neurosurgical system to superimpose pre-operative 3D meshes derived from MRI onto a view of the brain surface acquired during surgery. Methods: Our method uses cortical vessels as main features to drive a rigid then non-rigid 3D/2D registration. We first use a feature extractor network to produce probability maps that are fed to a pose estimator network to infer the 6-DoF rigid pose. Then, to account for brain deformation, we add a nonrigid refinement step formulated as a Shape-from-Template problem using physics-based constraints that helps propagate the deformation to sub-cortical level and update tumor location. Results: We tested our method retrospectively on 6 clinical datasets and obtained low pose error, and showed using synthetic dataset that considerable brain shift compensation and low TRE can be achieved at cortical and sub-cortical levels. Conclusion: The results show that our solution achieved accuracy below the actual clinical errors demonstrating the feasibility of practical use of our system. Significance: This work shows that we can provide coherent Augmented Reality visualization of 3D cortical vessels observed through the craniotomy using a single camera view and that cortical vessels provide strong features for performing both rigid and non-rigid registration.","[4968, 25, 532]"
